pathway	pval	padj	log2err	ES	NES	size
PID_INTEGRIN_CS_PATHWAY	0.748076923076923	0.941972453312161	0.0572461135202884	0.243543419019189	0.763370411286911	10
PID_MAPK_TRK_PATHWAY	0.740740740740741	0.941972453312161	0.0609039347452418	-0.204813494176635	-0.768256283660014	16
PID_MYC_ACTIV_PATHWAY	0.722338204592902	0.941972453312161	0.0628003977812234	-0.18513240278193	-0.826007731726148	28
PID_NFAT_TFPATHWAY	0.718487394957983	0.941972453312161	0.0633597010643758	-0.208283152268601	-0.804614199808291	18
PID_PI3KCI_AKT_PATHWAY	0.728136882129278	0.941972453312161	0.0579754757571486	0.206877389700051	0.79221528364495	18
PID_TCPTP_PATHWAY	0.716632443531828	0.941972453312161	0.0623861492893626	-0.208998417107272	-0.796668956410463	17
PID_BARD1_PATHWAY	0.794466403162055	0.954079696394687	0.0557104226766671	0.218335663354528	0.725801031636857	12
PID_P53_DOWNSTREAM_PATHWAY	0.795066413662239	0.954079696394687	0.05378728077603	0.1650583757442	0.755584035095578	33
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.965163934426229	0.965163934426229	0.0484087618816951	-0.13702414907523	-0.548903717905284	20
PID_AR_PATHWAY	0.954545454545455	0.965163934426229	0.0453152441270267	0.134116287424475	0.565513359068092	25
PID_DELTA_NP63_PATHWAY	0.872340425531915	0.965163934426229	0.0503964322442957	0.193440701924985	0.68114622696395	14
PID_ERA_GENOMIC_PATHWAY	0.893939393939394	0.965163934426229	0.0483117581055019	0.156838094359548	0.661321896649225	25
PID_ERBB1_INTERNALIZATION_PATHWAY	0.86892177589852	0.965163934426229	0.0546808488785442	-0.16073744413245	-0.6723162942077	23
PID_ERBB4_PATHWAY	0.934156378600823	0.965163934426229	0.0500922874402106	-0.161203195882813	-0.604673870151546	16
PID_FAS_PATHWAY	0.834033613445378	0.965163934426229	0.0562940749700968	-0.188285003652669	-0.727359778742565	18
PID_FGF_PATHWAY	0.964083175803403	0.965163934426229	0.044774889329693	0.14258410125369	0.558763364922479	19
PID_GMCSF_PATHWAY	0.822410147991543	0.965163934426229	0.0572461135202884	-0.18598342309173	-0.731959795522523	19
PID_HIF1A_PATHWAY	0.873076923076923	0.965163934426229	0.0500922874402106	0.211277173913043	0.662234043502645	10
PID_IGF1_PATHWAY	0.87037037037037	0.965163934426229	0.053347785067549	-0.17668376257911	-0.662741541360708	16
PID_IL1_PATHWAY	0.825462012320329	0.965163934426229	0.0557104226766671	-0.187632508998963	-0.715225489273239	17
PID_IL23_PATHWAY	0.919587628865979	0.965163934426229	0.0509082865515105	-0.168147365335402	-0.602493246848778	14
PID_IL27_PATHWAY	0.952868852459016	0.965163934426229	0.0489954089862481	-0.162851653928461	-0.568742897310763	13
PID_ILK_PATHWAY	0.963531669865643	0.965163934426229	0.0454967810085007	0.132049760015905	0.557566063979114	26
PID_KIT_PATHWAY	0.963675213675214	0.965163934426229	0.0503964322442957	-0.125873687391071	-0.536385154493452	24
PID_LKB1_PATHWAY	0.861867704280156	0.965163934426229	0.051218434854034	0.174646300984111	0.685369111057002	20
PID_NFKAPPAB_CANONICAL_PATHWAY	0.890495867768595	0.965163934426229	0.0524827622635459	-0.199093997734994	-0.644966500486857	11
PID_P73PATHWAY	0.918560606060606	0.965163934426229	0.0470699590082662	0.14725263628071	0.620903952636105	25
PID_PI3K_PLC_TRK_PATHWAY	0.936046511627907	0.965163934426229	0.0472587336673259	0.167801977787546	0.611845579278613	16
PID_REG_GR_PATHWAY	0.936842105263158	0.965163934426229	0.051011413203915	-0.13846789225535	-0.634514344952593	30
PID_S1P_S1P3_PATHWAY	0.883817427385892	0.965163934426229	0.0530212512043078	-0.204674135663963	-0.638236061542743	10
PID_TAP63_PATHWAY	0.845401174168297	0.965163934426229	0.0523759084097997	0.199323548420362	0.714830606687286	15
PID_TELOMERASE_PATHWAY	0.954110898661568	0.965163934426229	0.04577044581081	0.12773906220176	0.559557399864639	28
