"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"THBD",3.12990027275818e-07,1.5766056319714,0.333,0.006,0.00713116478145225,"6","THBD"
"CD93",3.12990027275818e-07,1.70636312009669,0.333,0.006,0.00713116478145225,"6","CD93"
"C19orf70",3.12990027275818e-07,1.10264033920013,0.333,0.006,0.00713116478145225,"6","C19orf70"
"OLFM2",3.12990027275818e-07,2.80694928879134,0.333,0.006,0.00713116478145225,"6","OLFM2"
"PLPPR2",3.12990027275818e-07,2.22180172717631,0.333,0.006,0.00713116478145225,"6","PLPPR2"
"DEGS1",4.13125072691337e-07,2.33829631760714,0.667,0.037,0.00941264165619942,"6","DEGS1"
"CCL5",4.13125072691337e-07,2.44441542984214,0.667,0.037,0.00941264165619942,"6","CCL5"
"TSACC",4.39256924220239e-07,1.05018714894956,0.333,0.006,0.0100080297614339,"6","TSACC"
"FCRL6",4.39256924220239e-07,1.03948986291007,0.333,0.006,0.0100080297614339,"6","FCRL6"
"OST4",4.39256924220239e-07,1.08377606642622,0.333,0.006,0.0100080297614339,"6","OST4"
"CMTM8",4.39256924220239e-07,1.08271631660053,0.333,0.006,0.0100080297614339,"6","CMTM8"
"PLSCR2",4.39256924220239e-07,1.08736823126863,0.333,0.006,0.0100080297614339,"6","PLSCR2"
"CCDC39",4.39256924220239e-07,1.0904038640544,0.333,0.006,0.0100080297614339,"6","CCDC39"
"TMEM154",4.39256924220239e-07,1.07118297397177,0.333,0.006,0.0100080297614339,"6","TMEM154"
"RXFP1",4.39256924220239e-07,1.03715986305131,0.333,0.006,0.0100080297614339,"6","RXFP1"
"AC091982.1",4.39256924220239e-07,1.07553127295081,0.333,0.006,0.0100080297614339,"6","AC091982.1"
"TRAF3IP2",4.39256924220239e-07,1.08696657998411,0.333,0.006,0.0100080297614339,"6","TRAF3IP2"
"MYB",4.39256924220239e-07,0.971021000360194,0.333,0.006,0.0100080297614339,"6","MYB"
"AC007285.1",4.39256924220239e-07,1.05697264092948,0.333,0.006,0.0100080297614339,"6","AC007285.1"
"AC007384.1",4.39256924220239e-07,1.06744565909495,0.333,0.006,0.0100080297614339,"6","AC007384.1"
"SMO",4.39256924220239e-07,1.00732046507864,0.333,0.006,0.0100080297614339,"6","SMO"
"GPR173",4.39256924220239e-07,1.54690691672075,0.333,0.006,0.0100080297614339,"6","GPR173"
"AC087269.1",4.39256924220239e-07,1.07118297397177,0.333,0.006,0.0100080297614339,"6","AC087269.1"
"DAB2IP",4.39256924220239e-07,1.55164100010744,0.333,0.006,0.0100080297614339,"6","DAB2IP"
"USH1C",4.39256924220239e-07,1.46724203539376,0.333,0.006,0.0100080297614339,"6","USH1C"
"LRRC32",4.39256924220239e-07,1.02832278753149,0.333,0.006,0.0100080297614339,"6","LRRC32"
"KCNIP2-AS1",4.39256924220239e-07,1.02323963599037,0.333,0.006,0.0100080297614339,"6","KCNIP2-AS1"
"FAM81A",4.39256924220239e-07,1.00048389101288,0.333,0.006,0.0100080297614339,"6","FAM81A"
"RAI1-AS1",4.39256924220239e-07,1.08875844168465,0.333,0.006,0.0100080297614339,"6","RAI1-AS1"
"AC015849.3",4.39256924220239e-07,1.00214502159577,0.333,0.006,0.0100080297614339,"6","AC015849.3"
"AC004805.1",4.39256924220239e-07,1.057649208033,0.333,0.006,0.0100080297614339,"6","AC004805.1"
"INTS1",1.52076240512035e-06,2.25400276830226,1,0.105,0.034649050638262,"6","INTS1"
"FYN",1.5902081882062e-06,2.87251390897815,1,0.117,0.0362313033600901,"6","FYN"
"MLX",3.92481039487018e-06,2.527328721484,0.667,0.049,0.0894228800367221,"6","MLX"
"RYBP",5.86523285784075e-06,2.19849773757874,1,0.117,0.133633465433044,"6","RYBP"
"ZNF195",1.19007803215593e-05,2.12623777181712,0.667,0.049,0.271147378846408,"6","ZNF195"
"SHROOM3",1.59271919046275e-05,2.24004903697486,0.667,0.056,0.362885140355033,"6","SHROOM3"
"GLIS3",2.17100367793809e-05,2.06547633950416,1,0.13,0.494641477981414,"6","GLIS3"
"CHST15",2.9873237391978e-05,1.71209016984817,0.667,0.056,0.680631840738828,"6","CHST15"
"IFNLR1",3.52195674325758e-05,1.08306038363934,0.333,0.012,0.802442624383807,"6","IFNLR1"
"DPM3",3.52195674325758e-05,2.17669845640859,0.333,0.012,0.802442624383807,"6","DPM3"
"LIN9",3.52195674325758e-05,1.53765737892701,0.333,0.012,0.802442624383807,"6","LIN9"
"ALK",3.52195674325758e-05,2.17525653117373,0.333,0.012,0.802442624383807,"6","ALK"
"GPR171",3.52195674325758e-05,1.54109205603942,0.333,0.012,0.802442624383807,"6","GPR171"
"ENAM",3.52195674325758e-05,1.52374496775584,0.333,0.012,0.802442624383807,"6","ENAM"
"TNF",3.52195674325758e-05,1.53807621600481,0.333,0.012,0.802442624383807,"6","TNF"
"SLC35B2",3.52195674325758e-05,1.5172045155418,0.333,0.012,0.802442624383807,"6","SLC35B2"
"CCR6",3.52195674325758e-05,1.51776644771961,0.333,0.012,0.802442624383807,"6","CCR6"
"SLC13A1",3.52195674325758e-05,2.15114747683226,0.333,0.012,0.802442624383807,"6","SLC13A1"
"LPL",3.52195674325758e-05,2.19291730658615,0.333,0.012,0.802442624383807,"6","LPL"
"INPP5E",3.52195674325758e-05,2.13697154225372,0.333,0.012,0.802442624383807,"6","INPP5E"
"FADS3",3.52195674325758e-05,2.1806353482134,0.333,0.012,0.802442624383807,"6","FADS3"
"ANO2",3.52195674325758e-05,2.19947716652914,0.333,0.012,0.802442624383807,"6","ANO2"
"AC007622.2",3.52195674325758e-05,2.16962054065489,0.333,0.012,0.802442624383807,"6","AC007622.2"
"COL4A1",3.52195674325758e-05,2.18407280868351,0.333,0.012,0.802442624383807,"6","COL4A1"
"ZSCAN2",3.52195674325758e-05,1.69712516180967,0.333,0.012,0.802442624383807,"6","ZSCAN2"
"CMTM3",3.52195674325758e-05,1.6529705233661,0.333,0.012,0.802442624383807,"6","CMTM3"
"CMTM4",3.52195674325758e-05,1.54347575893858,0.333,0.012,0.802442624383807,"6","CMTM4"
"TXNL4B",3.52195674325758e-05,1.07621400511287,0.333,0.012,0.802442624383807,"6","TXNL4B"
"DPP9-AS1",3.52195674325758e-05,1.56305368830193,0.333,0.012,0.802442624383807,"6","DPP9-AS1"
"ZNF473",3.52195674325758e-05,1.67456508051332,0.333,0.012,0.802442624383807,"6","ZNF473"
"FAM207A",3.52195674325758e-05,2.16772415000855,0.333,0.012,0.802442624383807,"6","FAM207A"
"JUN",3.8214270946786e-05,1.66339328163957,0.667,0.056,0.870673949251573,"6","JUN"
"NLRP3",4.06181908144705e-05,2.23390821787511,0.667,0.062,0.925444859516895,"6","NLRP3"
"AL160408.2",4.4249186460758e-05,1.43816869759034,0.333,0.012,1,"6","AL160408.2"
"AC092650.1",4.4249186460758e-05,1.07096262584021,0.333,0.012,1,"6","AC092650.1"
"GAR1",4.4249186460758e-05,1.04482023266476,0.333,0.012,1,"6","GAR1"
"PCYOX1L",4.4249186460758e-05,2.07156442454555,0.333,0.012,1,"6","PCYOX1L"
"KCNIP1",4.4249186460758e-05,2.05888139397949,0.333,0.012,1,"6","KCNIP1"
"SF3B5",4.4249186460758e-05,2.77786584664995,0.333,0.012,1,"6","SF3B5"
"MGAM",4.4249186460758e-05,1.04400158444767,0.333,0.012,1,"6","MGAM"
"GIMAP5",4.4249186460758e-05,1.0582486540739,0.333,0.012,1,"6","GIMAP5"
"PPP1R3B",4.4249186460758e-05,1.51668026462514,0.333,0.012,1,"6","PPP1R3B"
"ALG2",4.4249186460758e-05,1.01643930858308,0.333,0.012,1,"6","ALG2"
"AL391121.1",4.4249186460758e-05,1.06347367383684,0.333,0.012,1,"6","AL391121.1"
"RBP5",4.4249186460758e-05,1.05896406609497,0.333,0.012,1,"6","RBP5"
"MSRB3",4.4249186460758e-05,1.05146039936206,0.333,0.012,1,"6","MSRB3"
"AL355922.2",4.4249186460758e-05,1.06044447119953,0.333,0.012,1,"6","AL355922.2"
"AL139353.1",4.4249186460758e-05,1.0647824436234,0.333,0.012,1,"6","AL139353.1"
"GNPNAT1",4.4249186460758e-05,1.49659336974994,0.333,0.012,1,"6","GNPNAT1"
"ISCA2",4.4249186460758e-05,1.03552043620908,0.333,0.012,1,"6","ISCA2"
"SRP14-AS1",4.4249186460758e-05,0.975009131829002,0.333,0.012,1,"6","SRP14-AS1"
"IQCH",4.4249186460758e-05,1.03710007257742,0.333,0.012,1,"6","IQCH"
"ZNF213-AS1",4.4249186460758e-05,1.01310371290803,0.333,0.012,1,"6","ZNF213-AS1"
"ADAT1",4.4249186460758e-05,1.04666382398811,0.333,0.012,1,"6","ADAT1"
"AC011921.1",4.4249186460758e-05,0.995390185833003,0.333,0.012,1,"6","AC011921.1"
"FBXO17",4.4249186460758e-05,1.04486573202159,0.333,0.012,1,"6","FBXO17"
"NCAPH2",4.4249186460758e-05,1.48803812829091,0.333,0.012,1,"6","NCAPH2"
"SLC39A9",4.56506738233107e-05,2.27562661526555,0.667,0.062,1,"6","SLC39A9"
"AHR",4.6474681652544e-05,2.44381912504144,0.667,0.068,1,"6","AHR"
"RHEX",4.87358479386291e-05,1.82450372042785,0.667,0.056,1,"6","RHEX"
"COX18",5.5446612197848e-05,0.950216431214542,0.333,0.012,1,"6","COX18"
"HAVCR1",5.5446612197848e-05,0.954810840069892,0.333,0.012,1,"6","HAVCR1"
"AL589669.1",5.5446612197848e-05,0.933780991213605,0.333,0.012,1,"6","AL589669.1"
"RP1",5.5446612197848e-05,1.3951541900989,0.333,0.012,1,"6","RP1"
"MED30",5.5446612197848e-05,1.02891396944471,0.333,0.012,1,"6","MED30"
"HDHD3",5.5446612197848e-05,0.974687639593637,0.333,0.012,1,"6","HDHD3"
"PIP4K2C",5.5446612197848e-05,1.04966168350184,0.333,0.012,1,"6","PIP4K2C"
"PITPNM2",5.5446612197848e-05,0.995624363171808,0.333,0.012,1,"6","PITPNM2"
"WASF3",5.5446612197848e-05,1.03824573408214,0.333,0.012,1,"6","WASF3"
"DHRS1",5.5446612197848e-05,1.04126818465377,0.333,0.012,1,"6","DHRS1"
"AC010642.2",5.5446612197848e-05,1.39485008123357,0.333,0.012,1,"6","AC010642.2"
"PCBP3",5.5446612197848e-05,0.988811069264968,0.333,0.012,1,"6","PCBP3"
"PIGG",5.80823920055366e-05,2.38773520624127,0.667,0.068,1,"6","PIGG"
"CNOT6L",9.06521985684419e-05,2.33898592108841,1,0.179,1,"6","CNOT6L"
"EMP3",9.06615592109194e-05,1.57932926800988,0.667,0.062,1,"6","EMP3"
"ITGA4",0.000126436269339022,2.7157848413623,1,0.21,1,"6","ITGA4"
"CCSAP",0.000131725490535268,2.30726314089701,0.667,0.074,1,"6","CCSAP"
"SMAD5",0.000197433614682781,1.58921826946031,0.667,0.074,1,"6","SMAD5"
"THUMPD3-AS1",0.000240852136630483,1.64827815162721,0.667,0.074,1,"6","THUMPD3-AS1"
"LRP4",0.000268465686187827,1.89747274621501,0.667,0.08,1,"6","LRP4"
"UMPS",0.000356163663766514,1.6174538674935,0.667,0.08,1,"6","UMPS"
"CNPY3",0.000356163663766514,1.99996858602367,0.667,0.08,1,"6","CNPY3"
"IL4I1",0.000383511637856488,2.27388566996083,0.667,0.086,1,"6","IL4I1"
"SETMAR",0.000388552752149207,1.50459251826773,0.333,0.019,1,"6","SETMAR"
"LXN",0.000388552752149207,1.0457546154193,0.333,0.019,1,"6","LXN"
"ARAP3",0.000388552752149207,2.10985602220891,0.333,0.019,1,"6","ARAP3"
"LINC00861",0.000388552752149207,2.10690793568933,0.333,0.019,1,"6","LINC00861"
"IQCH-AS1",0.000388552752149207,2.09818202276005,0.333,0.019,1,"6","IQCH-AS1"
"SNAI3-AS1",0.000388552752149207,2.1823684604432,0.333,0.019,1,"6","SNAI3-AS1"
"MNT",0.000388552752149207,2.02812251966853,0.333,0.019,1,"6","MNT"
"SDF2",0.000388552752149207,1.53216765698962,0.333,0.019,1,"6","SDF2"
"MYOM1",0.000388552752149207,2.05557342319798,0.333,0.019,1,"6","MYOM1"
"RBM28",0.000428808110232409,1.98763441491011,0.667,0.08,1,"6","RBM28"
"AGRN",0.000461845620746664,2.06338019430458,0.333,0.019,1,"6","AGRN"
"ACP6",0.000461845620746664,2.08234843499297,0.333,0.019,1,"6","ACP6"
"IGFBP5",0.000461845620746664,1.42782761036989,0.333,0.019,1,"6","IGFBP5"
"ANKRD50",0.000461845620746664,1.40224751632344,0.333,0.019,1,"6","ANKRD50"
"OSMR",0.000461845620746664,1.01140674063896,0.333,0.019,1,"6","OSMR"
"HNRNPH2",0.000461845620746664,1.45430283987167,0.333,0.019,1,"6","HNRNPH2"
"EXTL3",0.000461845620746664,1.03661778212211,0.333,0.019,1,"6","EXTL3"
"RALYL",0.000461845620746664,2.07657515739327,0.333,0.019,1,"6","RALYL"
"ALG11",0.000461845620746664,1.04294593033881,0.333,0.019,1,"6","ALG11"
"IFT140",0.000461845620746664,1.4704784602901,0.333,0.019,1,"6","IFT140"
"DSTN",0.000461845620746664,1.03158198678351,0.333,0.019,1,"6","DSTN"
"NFIX",0.000461845620746664,1.47280806182897,0.333,0.019,1,"6","NFIX"
"AF127577.4",0.000461845620746664,1.21953043146003,0.333,0.019,1,"6","AF127577.4"
"CD55",0.000547879883753861,0.996270215956866,0.333,0.019,1,"6","CD55"
"CCDC142",0.000547879883753861,0.996340292589455,0.333,0.019,1,"6","CCDC142"
"AC007364.1",0.000547879883753861,0.741294429200252,0.333,0.019,1,"6","AC007364.1"
"C4orf48",0.000547879883753861,0.920482843026882,0.333,0.019,1,"6","C4orf48"
"CDH12",0.000547879883753861,1.02604359530432,0.333,0.019,1,"6","CDH12"
"GAPT",0.000547879883753861,1.02028825201436,0.333,0.019,1,"6","GAPT"
"JMY",0.000547879883753861,1.0009061165386,0.333,0.019,1,"6","JMY"
"GFOD1",0.000547879883753861,0.962760569163465,0.333,0.019,1,"6","GFOD1"
"U91328.2",0.000547879883753861,0.903139881254533,0.333,0.019,1,"6","U91328.2"
"AL513550.1",0.000547879883753861,0.92982866334349,0.333,0.019,1,"6","AL513550.1"
"ZNHIT1",0.000547879883753861,0.970749246653633,0.333,0.019,1,"6","ZNHIT1"
"AC090114.2",0.000547879883753861,0.980193209299139,0.333,0.019,1,"6","AC090114.2"
"ATP7A",0.000547879883753861,0.984274617206244,0.333,0.019,1,"6","ATP7A"
"VWF",0.000547879883753861,1.00290505624375,0.333,0.019,1,"6","VWF"
"NAB2",0.000547879883753861,1.45343294042658,0.333,0.019,1,"6","NAB2"
"THSD4-AS1",0.000547879883753861,0.973300816707904,0.333,0.019,1,"6","THSD4-AS1"
"ZSCAN32",0.000547879883753861,1.02373675222263,0.333,0.019,1,"6","ZSCAN32"
"NUTF2",0.000547879883753861,1.01299884286927,0.333,0.019,1,"6","NUTF2"
"SMOX",0.000547879883753861,0.966229784296007,0.333,0.019,1,"6","SMOX"
"HELZ2",0.000547879883753861,1.38549942016359,0.333,0.019,1,"6","HELZ2"
"MAP3K7CL",0.000547879883753861,0.918248949323358,0.333,0.019,1,"6","MAP3K7CL"
"CENPK",0.000648659159878289,0.987431553245399,0.333,0.019,1,"6","CENPK"
"HTATSF1",0.000648659159878289,0.949410971425552,0.333,0.019,1,"6","HTATSF1"
"ST3GAL4",0.000648659159878289,0.974818318662015,0.333,0.019,1,"6","ST3GAL4"
"TMEM199",0.000648659159878289,0.818290454556592,0.333,0.019,1,"6","TMEM199"
