"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLA2R1",0.704688482728293,-0.349393501100099,0.091,0.132,1,"5","PLA2R1"
"GPBP1L1",0.705082936521741,-0.44127985712118,0.182,0.213,1,"5","GPBP1L1"
"SYTL2",0.708102319688266,-0.519637333658207,0.364,0.371,1,"5","SYTL2"
"PSMD14",0.708648297288386,-0.473254046067357,0.091,0.122,1,"5","PSMD14"
"SIL1",0.709085771859346,-0.27440375882451,0.182,0.234,1,"5","SIL1"
"PAK2",0.709120565297872,0.272178711044608,0.182,0.152,1,"5","PAK2"
"MAPK14",0.709120565297872,0.323168959593924,0.182,0.152,1,"5","MAPK14"
"ZC3H14",0.709120565297872,0.333530210953671,0.182,0.152,1,"5","ZC3H14"
"DOCK8",0.710377137929263,0.420434978302233,0.364,0.36,1,"5","DOCK8"
"ASS1",0.711244748623557,-0.328588631221453,0.091,0.132,1,"5","ASS1"
"ECPAS",0.712162911557413,0.73872384846107,0.182,0.254,1,"5","ECPAS"
"TMBIM6",0.713370360793985,-0.340101240009492,0.091,0.127,1,"5","TMBIM6"
"EFCAB13",0.713690648594928,0.389015093976703,0.364,0.365,1,"5","EFCAB13"
"HIPK3",0.714004679978628,0.256429042787849,0.182,0.142,1,"5","HIPK3"
"TINAG",0.714940437013462,-0.549349126607236,0.273,0.31,1,"5","TINAG"
"TFDP2",0.715200986644734,0.609620700508564,0.273,0.264,1,"5","TFDP2"
"GSAP",0.715231715856528,0.501493609909732,0.182,0.152,1,"5","GSAP"
"KMT5B",0.715231715856528,0.481156687972605,0.182,0.152,1,"5","KMT5B"
"LRRC41",0.715440989530007,-0.449007374476228,0.091,0.122,1,"5","LRRC41"
"STPG2",0.715441273993733,-0.499479876123027,0.091,0.122,1,"5","STPG2"
"ZBTB1",0.715441273993733,-0.318876845236003,0.091,0.122,1,"5","ZBTB1"
"ZMYM2",0.718145755650791,-0.465105331786258,0.364,0.365,1,"5","ZMYM2"
"EPB41L5",0.718971234123898,0.343418007043897,0.273,0.234,1,"5","EPB41L5"
"FLNA",0.719602439880038,0.291447612549145,0.091,0.142,1,"5","FLNA"
"IQCB1",0.720063426964783,-0.325943528656468,0.091,0.127,1,"5","IQCB1"
"CEP70",0.720063426964783,-0.385423566865344,0.091,0.127,1,"5","CEP70"
"CEP135",0.720063426964783,-0.343178628035152,0.091,0.127,1,"5","CEP135"
"PRR12",0.720063426964783,-0.379753193762211,0.091,0.127,1,"5","PRR12"
"TMEM178B",0.720886673166312,0.342535363125471,0.455,0.386,1,"5","TMEM178B"
"RANBP2",0.721361173211053,0.266206241717029,0.182,0.152,1,"5","RANBP2"
"THADA",0.721630451247555,0.260365646945331,0.364,0.35,1,"5","THADA"
"FTH1",0.72174258264338,0.32194527629682,0.182,0.157,1,"5","FTH1"
"PSMD1",0.722243673760363,0.823404679673568,0.182,0.168,1,"5","PSMD1"
"EDRF1",0.722256858191036,-0.464496696153214,0.091,0.122,1,"5","EDRF1"
